Prefab	Idle	Move	Jump	Fall	Dash	Charge	Freeze	Behit	BehitFly	BehitRoll	BehitSuperArmor	Death
模型名称	待机	移动	跳	掉落	翻滚(翻滚改为技能，在技能中配置)	突进	晕眩	受击	击飞	击翻滚	霸体受击	死亡
ZJ_zhanshi_SkinnedMesh		Player_warrior/player_warrior_foot						common/player_warrior_bva_behit|common/behit	common/player_warrior_jifei|common/behit	common/player_warrior_jigun|common/behit	common/player_warrior_bva_behit|common/behit	common/player_warrior_dead|common/behit
Monster_hound_normal								common/behit	common/behit	common/behit	common/behit	common/hound_dead|common/behit
Monster_hound_armor								common/behit	common/behit	common/behit	common/behit	common/hound_dead|common/behit
Monster_hound_desertarmor								common/behit	common/behit	common/behit	common/behit	common/hound_dead|common/behit
Monster_goblin_green								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_black								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_red								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_desertturkey_white								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_bone								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_blue								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_spartan								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_goblin_asai								common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_behit|common/behit	common/goblin_dead|common/behit
Monster_orc_green								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_black								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_blue								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_bone								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_oneeyes								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
Monster_orc_red								common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/dragonnest_behit|common/orc_behit	common/orc_dead|common/behit
