ItemID	EffectID
技能铭文ID	效果ID
10550001	10550001
10550002	10550002
10550003	10550003
10550004	10550004
10550005	10550005
10550006	10550006
10550007	10550007
10550008	10550008
10550009	10550009
10550010	10550010
10550011	10550011
10550012	10550012
10550013	10550013
10550014	10550014
10550015	10550015
10550016	10550016
10550017	10550017
10550018	10550018
10550019	10550019
10550020	10550020
10550021	10550021
10550022	10550022
10550023	10550023
10550024	10550024
10550025	10550025
10550026	10550026
10550027	10550027
10550028	10550028
10550029	10550029
10550030	10550030
10550031	10550031
10550032	10550032
10550033	10550033
10550034	10550034
10550035	10550035
10550036	10550036
10550037	10550037
10550038	10550038
10550039	10550039
10550040	10550040
10550041	10550041
10550042	10550042
10550043	10550043
10550044	10550044
10550045	10550045
10550046	10550046
10550047	10550047
10550048	10550048
10550049	10550049
10550050	10550050
10550051	10550051
10550052	10550052
10550053	10550053
10550054	10550054
10550055	10550055
10550056	10550056
10550057	10550057
10550058	10550058
10550059	10550059
10550060	10550060
10550061	10550061
10550062	10550062
10550063	10550063
10550064	10550064
10550065	10550065
10550066	10550066
10550067	10550067
10550068	10550068
10550069	10550069
10550070	10550070
10550071	10550071
10550072	10550072
10550073	10550073
10550074	10550074
10550075	10550075
10550076	10550076
10550077	10550077
10550078	10550078
10550079	10550079
10550080	10550080
10550081	10550081
10550082	10550082
10550083	10550083
10550084	10550084
10550085	10550085
10550086	10550086
10550087	10550087
10550088	10550088
10550089	10550089
10550090	10550090
10550091	10550091
10550092	10550092
10550093	10550093
10550094	10550094
10550095	10550095
10550096	10550096
10550097	10550097
10550098	10550098
10550099	10550099
10550100	10550100
10550101	10550101
10550102	10550102
10550103	10550103
10550104	10550104
10550105	10550105
10550106	10550106
10550107	10550107
10550108	10550108
10550109	10550109
10550110	10550110
10550111	10550111
10550112	10550112
10550113	10550113
10550114	10550114
10550115	10550115
10550116	10550116
10550117	10550117
10550118	10550118
10550119	10550119
10550120	10550120
10550121	10550121
10550122	10550122
10550123	10550123
10550124	10550124
10550125	10550125
10550126	10550126
10550127	10550127
10550128	10550128
10550129	10550129
10550130	10550130
10550131	10550131
10550132	10550132
10550133	10550133
10550134	10550134
10550135	10550135
10550136	10550136
10550137	10550137
10550138	10550138
10550139	10550139
10550140	10550140
10550141	10550141
10550142	10550142
10550143	10550143
10550144	10550144
10550145	10550145
10550146	10550146
10550147	10550147
10550148	10550148
10550149	10550149
10550150	10550150
10550151	10550151
10550152	10550152
10550153	10550153
10550154	10550154
10550155	10550155
10550156	10550156
10550157	10550157
10550158	10550158
10550159	10550159
10550160	10550160
10550161	10550161
10550162	10550162
10550163	10550163
10550164	10550164
10550165	10550165
10550166	10550166
10550167	10550167
10550168	10550168
10550169	10550169
10550170	10550170
10550171	10550171
10550172	10550172
10550173	10550173
10550174	10550174
10550175	10550175
10550176	10550176
10550177	10550177
10550178	10550178
10550179	10550179
10550180	10550180
10550181	10550181
10550182	10550182
10550183	10550183
10550184	10550184
10550185	10550185
10550186	10550186
10550187	10550187
10550188	10550188
10550189	10550189
10550190	10550190
10550191	10550191
10550192	10550192
10550193	10550193
10550194	10550194
10550195	10550195
10550196	10550196
10550197	10550197
10550198	10550198
10550199	10550199
10550200	10550200
10550201	10550201
10550202	10550202
10550203	10550203
10550204	10550204
10550205	10550205
10550206	10550206
10550207	10550207
10550208	10550208
10550209	10550209
10550210	10550210
10550211	10550211
10550212	10550212
10550213	10550213
10550214	10550214
10550215	10550215
10550216	10550216
10550217	10550217
10550218	10550218
10550219	10550219
10550220	10550220
10550221	10550221
10550222	10550222
10550223	10550223
10550224	10550224
10550225	10550225
10550226	10550226
10550227	10550227
10550228	10550228
10550229	10550229
10550230	10550230
10550231	10550231
10550232	10550232
10550233	10550233
10550234	10550234
10550235	10550235
10550236	10550236
10550237	10550237
10550238	10550238
10550239	10550239
10550240	10550240
10550241	10550241
10550242	10550242
10550243	10550243
10550244	10550244
10550245	10550245
10550246	10550246
10550247	10550247
10550248	10550248
10550249	10550249
10550250	10550250
10550251	10550251
10550252	10550252
10550253	10550253
10550254	10550254
10550255	10550255
10550256	10550256
10550257	10550257
10550258	10550258
10550259	10550259
10550260	10550260
10550261	10550261
10550262	10550262
10550263	10550263
10550264	10550264
10550265	10550265
10550266	10550266
10550267	10550267
10550268	10550268
10550269	10550269
10550270	10550270
10550271	10550271
10550272	10550272
10550273	10550273
10550274	10550274
10550275	10550275
10550276	10550276
10550277	10550277
10550278	10550278
